site_id,code_national_ea,numero_ea,identification_ea_brute,commune,adresse_ou_nom_lieu,pays,longitude,latitude,x_l93,y_l93,periode,sous_periode,type_site,confiance,source,notes_parsing
PATRIARCHE-18625,18625,67 165 0017,8625 / 67 165 0017 / GRANDFONTAINE / / / enceinte / Age du bronze - Age du fer,GRANDFONTAINE,,FR,7.1641777,48.51240740000001,1007416.8082976004,6831681.350396959,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=enceinte; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11393,11393,67 168 0001,1393 / 67 168 0001 / GRESSWILLER / BANNHOLTZ /  / tumulus / Age du bronze - Age du fer,GRESSWILLER,BANNHOLTZ,FR,7.418434,48.533727,1026035.4844653937,6835067.665156251,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=ban_municipality;precision=centroïde
PATRIARCHE-19784,19784,67 168 0002,9784 / 67 168 0002 / GRESSWILLER / Wurmberg /  / enceinte / Age du bronze - Age du fer ?,GRESSWILLER,Wurmberg,FR,7.418434,48.533727,1026035.4844653937,6835067.665156251,indéterminé,indéterminé,oppidum,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer ?; type_brut=enceinte; georef=ban_municipality;precision=centroïde
PATRIARCHE-1144,1144,67 173 0003,"144 / 67 173 0003 / GRIESHEIM-SUR-SOUFFEL /  / DOMHERREMBREITE,OBEN AM DORF,AUF DIE KIRCH / Age du bronze - Age du fer / fosse",GRIESHEIM-SUR-SOUFFEL,,FR,7.64576031,48.634553550000014,1042131.8790970576,6847219.811358594,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,"lieu_dit=DOMHERREMBREITE,OBEN AM DORF,AUF DIE KIRCH; chrono_brut=Age du bronze - Age du fer; type_brut=fosse; georef=sites_csv_commune_mean;precision=commune"
PATRIARCHE-157,157,67 179 0003,57 / 67 179 0003 / HAEGEN / BROTSCH / CUVE DE PIERRE / Age du bronze - Age du fer ? / bassin,HAEGEN,BROTSCH,FR,7.336622,48.712961,1018910.9367637351,6854628.86650039,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=CUVE DE PIERRE; chrono_brut=Age du bronze - Age du fer ?; georef=ban_municipality;precision=centroïde
PATRIARCHE-158,158,67 179 0004,58 / 67 179 0004 / HAEGEN /  / BROTSCH / enceinte / Age du bronze - Age du fer,HAEGEN,,FR,7.336622,48.712961,1018910.9367637351,6854628.86650039,indéterminé,indéterminé,oppidum,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=BROTSCH; chrono_brut=Age du bronze - Age du fer; type_brut=enceinte; georef=ban_municipality;precision=centroïde
PATRIARCHE-1460,1460,67 179 0008,460 / 67 179 0008 / HAEGEN / LE KEMPEL / PIERRES SAINT MARTIN / tumulus / Age du bronze - Age du fer,HAEGEN,LE KEMPEL,FR,7.336622,48.712961,1018910.9367637351,6854628.86650039,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=PIERRES SAINT MARTIN; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=ban_municipality;precision=centroïde
PATRIARCHE-198,198,67 180 0004,98 / 67 180 0004 / HAGUENAU /  / SPITALWALD KESSEL / tumulus / Age du bronze - Age du fer,Haguenau,,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=SPITALWALD KESSEL; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1466,1466,67 180 0005,466 / 67 180 0005 / HAGUENAU /  / KIRCHLACH / tumulus / Age du bronze - Age du fer,Haguenau,,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=KIRCHLACH; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1202,1202,67 180 0009,202 / 67 180 0009 / HAGUENAU /  / DONAUBERG / tumulus / Age du bronze - Age du fer,Haguenau,,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=DONAUBERG; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
