site_id,nom_site,commune,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,source,bibliographie
AKG-25833,Schlossberg,Neuenbürg,DE,OPPIDUM,8.75,49.1,1119556.9257693177,6904190.903488736,LA_TENE,,-500,-321,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Bernard (L.), Gentner (S.), Wieland (G.), Fortsetzung der Untersuchungen in der frühlatènezeitlichen Handwerkersiedlung am Neuenbürger Schlossberg, in : Archäologische Ausgrabungen in Baden-Württemberg, 2012. | Archimède 3, 2016, revue en ligne à paraître | Siehe Gassmann, Wieland 2006, Germania zur Eisenproduktion | Bittel 17,24,44/FBS NF 187,1,1967,61+/diss Jensen Marburg,1974, Reile 1959 Neuenbürg_ KBdW 437-440 -plan_ Biel 1987 : 307"
AKG-25834,Goldberg,Riesbürg-Goldburghausen,DE,OPPIDUM,10.466666,48.85,1247110.4394271001,6886992.990715684,HALLSTATT,,-725,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Arch Inf BDW 1995 : 66-79_ Rieckhoff 2001 : 452-454_ Bersu in Schumacher Festschrift 1936, 156+/Childe 1950, 224+plan, Ausgrabungen in D 1975, 98+/FssHhs66+_ KBdW 451_ H. Parzinger, Der Goldberg. Die Metallzeitliche Besiedlung. RGF 37, Mainz, 1998"
AKG-25835,Singen,Singen,DE,OPPIDUM,8.833333,47.766666,1136565.564193934,6756829.878313987,HALLSTATT,,-725,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Funk 1960, Bilder VFG Hegaus, 5/Dehn Ausgrabungen in D 1, 125+/FssHHs47+_ KBdW 467-470"
AKG-25836,Dreifaltigkeitsberg,Spaichingen,DE,OPPIDUM,8.783334,48.083332,1130255.5225129207,6791647.305793095,HALLSTATT,,-620,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Rieckhoff 2001 : 465-466_ Biel 1987, 317-323 + pl 133-145/Heine 1978, AV/ Ströbel in Tuttl. Heimatblatt. NF 19/21,1961,75-81_ KBdW : 473-476"
AKG-25837,Lemberg,Stuttgart-Feuerbach,DE,OPPIDUM,9.066667,48.766666,1145463.7959536205,6868961.336693693,HALLSTATT,Ha D1,-620,-531,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"FBS 16,1908,34+_ KBdW 479-480 plan"
AKG-25838,Grosse Heuneburg,Zwiefalten-Upflamör,DE,OPPIDUM,9.45,48.216667,1178538.9585440727,6810257.347252394,HALLSTATT,Ha C,-725,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Rieckhoff 2001 : 501-502_ OAB Riedlingen 1923, 225+_ KBdW 505 -507 plan_  Biel Höhensiedlungen 1987 330-333 + pl 148-155"
AKG-25839,Magdalenenberg/Kapf,Villingen-Schwenningen,DE,OPPIDUM,8.466666,48.083332,1106735.5101276604,6789968.985445525,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Spindle, Der Magda. Führer zu Denkmälern 5, 1976 + Magda (Spindler aussi ) 1(1971) 2 (1977)_ Germania 42,1964 : 269+$$$$"
AKG-25840,Lochenstein,Balingen,DE,OPPIDUM,8.833333,48.25,1132601.3921894596,6810392.937480536,LA_TENE,,-620,-261,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Reickhoff 2001 : 356-357_ Biel 1987 _ 123 et 254 et sq + pl 43-96_ FBS 1924, 73-103, Biel 1988, 255+ bcp de céra, jattes surtt_ _ KBdW : 347-348"
AKG-25841,Auf dem Eisbengel,Kornwestheim-Ludwigsburg,DE,OPPIDUM,9.166667,48.85,1152068.8946373574,6878767.807805844,HALLSTATT,,-620,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"FBBDW 3, 1977, 173-203"
AKG-25842,Ried,Freiberg/Geisingen-Ludwigsburg,DE,OPPIDUM,9.216666,48.95,1154852.1371192695,6890140.711828544,HALLSTATT,,-620,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"FBBDW 2, 1975, 18+ et pl. 38-40/ diss en cours en '78"
AKG-25843,Grosssachsenheim,Sachsenheim-Ludwigsburg,DE,OPPIDUM,9.066667,48.966667,1143756.8343328754,6891135.059384027,LA_TENE,,-460,-261,LOW,ArkeoGIS_LoupBernard_BW_20250806,arch ausgr 1982 : 67-68_ AA 1981 : 147 et sq
