row_index,excel_row_ordinal,commune,nom_site,phase_index,action,site_id,matched_reason,coord_quality,periode,sous_periode
108,312,Ambacourt,Les Taillotes,2,new,SITE-d8b6200d7b77989e,aucune correspondance,ok,Hallstatt,Ha D1
109,313,Aulnoy,Bois banal,0,new,SITE-4d44a927886254dc,aucune correspondance,ok,indéterminé,
110,314,Autigny La Tour,Les Échanées,0,new,SITE-9b9c65b0785dcd2a,aucune correspondance,ok,Hallstatt,Ha D2
110,314,Autigny La Tour,Les Échanées,1,new,SITE-9b9c65b0785dcd2a,aucune correspondance,ok,Hallstatt,Ha D3
111,315,Auzainvillers,Le Prieur,0,new,SITE-1ada108fdd07a52a,aucune correspondance,ok,Hallstatt,Ha B2-B3
111,315,Auzainvillers,Le Prieur,1,new,SITE-1ada108fdd07a52a,aucune correspondance,ok,Hallstatt,Ha C
111,315,Auzainvillers,Le Prieur,2,new,SITE-1ada108fdd07a52a,aucune correspondance,ok,Hallstatt,Ha D1
111,315,Auzainvillers,Le Prieur,3,new,SITE-1ada108fdd07a52a,aucune correspondance,ok,Hallstatt,Ha D2
112,316,Beaufremont,Naburnessart,0,new,SITE-8c02980f1338f931,aucune correspondance,ok,indéterminé,
113,317,Bouxurulles,Bois du Mont - étape 3,0,new,SITE-4ea10fbb2cdb5d7b,aucune correspondance,ok,Hallstatt,Ha D2
113,317,Bouxurulles,Bois du Mont - étape 3,1,new,SITE-4ea10fbb2cdb5d7b,aucune correspondance,ok,Hallstatt,Ha D3
113,318,Bouxurulles,Bois du Mont - étapes 1-2,0,new,SITE-7d31ee116c4fbf2c,aucune correspondance,ok,Hallstatt,Ha B2-B3
113,318,Bouxurulles,Bois du Mont - étapes 1-2,1,new,SITE-7d31ee116c4fbf2c,aucune correspondance,ok,Hallstatt,Ha C
113,318,Bouxurulles,Bois du Mont - étapes 1-2,2,new,SITE-7d31ee116c4fbf2c,aucune correspondance,ok,Hallstatt,Ha D1
114,319,Bouzemont,Haut des Faux,0,new,SITE-dbbde0baf5c99e03,aucune correspondance,ok,indéterminé,
115,320,Chaumousey,Bois de Trusey - étape 1,0,new,SITE-220740283330a383,aucune correspondance,ok,Hallstatt,Ha B2-B3
115,321,Chaumousey,Bois de Trusey - étapes 2-3,0,new,SITE-c13b8586fc2a9dfe,aucune correspondance,ok,Hallstatt,Ha D1
115,321,Chaumousey,Bois de Trusey - étapes 2-3,1,new,SITE-c13b8586fc2a9dfe,aucune correspondance,ok,Hallstatt,Ha D2
115,321,Chaumousey,Bois de Trusey - étapes 2-3,2,new,SITE-c13b8586fc2a9dfe,aucune correspondance,ok,Hallstatt,Ha D3
116,322,Contrexeville,Bois d'Hazeau - étape 1,0,new,SITE-01caf62123dec145,aucune correspondance,ok,Hallstatt,Ha C
116,323,Contrexeville,Bois d'Hazeau - étapes 2-3,0,new,SITE-2819d23bb23e6eac,aucune correspondance,ok,Hallstatt,Ha D1
116,323,Contrexeville,Bois d'Hazeau - étapes 2-3,1,new,SITE-2819d23bb23e6eac,aucune correspondance,ok,Hallstatt,Ha D2
116,323,Contrexeville,Bois d'Hazeau - étapes 2-3,2,new,SITE-2819d23bb23e6eac,aucune correspondance,ok,Hallstatt,Ha D3
117,324,Damas-Aux-Bois,Bois de Voivre,0,new,SITE-4635d38b008c0a83,aucune correspondance,ok,Hallstatt,Ha C
