site_id,commune,lieu_dit,n_sep,type_sep,chrono,periode,sous_periode,genre,nb_ceramique_nmi,position_corps,decomposition,AC Fibule,AC Bracelet,AC Anneau de jambe,AC Torque,AC Boucle d'oreille,Fer épée/poignard,Fer lance,Fer Char,Roche noire Bracelet,Ambre Perle,Verre Perle
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4431,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,8,,,2,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4158,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,4,,,,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4163,inhumation,Ha D3-LT A,Transition,Ha D3 / LT A,Féminin,2,,,,2,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4423,inhumation,Ha D,Hallstatt,Ha D,Féminin,4,,,,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4162,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,4,,,,1,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4004,inhumation,LT A,La Tène,LT A,Féminin,4,,,1,3,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4006,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,4,,,2,,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4008,inhumation,Ha D2,Hallstatt,Ha D2,Féminin,3,,,,,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4009,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,5,,,2,,2,1,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4010,inhumation,Ha D,Hallstatt,Ha D,Féminin,2,,,,2,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4011,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,2,,,,,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4310,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,4,,,2,2,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4103,inhumation,LT A,La Tène,LT A,Féminin,6,,,2,2,1,,1,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4428,inhumation,Ha D2-D3,Hallstatt,Ha D2-D3,Féminin,2,,,1,,1,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4429,inhumation,Ha D,Hallstatt,Ha D,Féminin,1,,,,1,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4315,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,6,,,,4,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4316,inhumation,Ha D-LT A,Transition,Ha D3 / LT A,Féminin,2,,,,2,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4365,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,4,,,,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4368,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,2,,,1,,,1,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4414,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,5,,,1,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4439,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,4,,,,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4448,inhumation,Ha D,Hallstatt,Ha D,Féminin,2,,,,2,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4483,inhumation,Ha D2-D3,Hallstatt,Ha D2-D3,Féminin,7,,,2,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4477a,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,5,,,1,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4477b,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,5,,,,3,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4490a,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,3,,,,1,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4490b,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,2,,,,,,,,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6011,inhumation,Ha C2-D1,Hallstatt,Ha C2-D1,Féminin,1,sur le dos,,,,,,,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6001,inhumation,Ha D1a,Hallstatt,Ha D1a,Masculin,4,sur le dos ?,,1,,,,,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6002,inhumation,Ha D1-D2,Hallstatt,Ha D1-D2,Féminin,4,sur le dos  ,,,2,,,1,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6003,inhumation,Ha D1-D2,Hallstatt,Ha D1-D2,Féminin,5,sur le dos avec bras repliés sur le corps,,1,,,1,2,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6004,inhumation,Ha D3,Hallstatt,Ha D3,Indéterminé,2,sur le dos ?,,2,,,,,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6005,inhumation,Ha D1,Hallstatt,Ha D1,Immature,4,sur le dos,,,3,,,,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6006,inhumation,Ha D,Hallstatt,Ha D,Indéterminé,1,sur le dos ?,,,1,,,,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6007,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,105,sur le dos,,,2,,1,2,,,,,,100
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6008a,inhumation,Ha D1-D2,Hallstatt,Ha D1-D2,Féminin,6,sur le dos,,,2,,1,,,,,1,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6008a,inhumation,Ha D1,Hallstatt,Ha D1,Indéterminé,2,,,2,,,,,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6014,inhumation,Ha C-D,Hallstatt,Ha C-D,Indéterminé,1,,,,,,,,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6026,inhumation,Ha D1-D2,Hallstatt,Ha D1-D2,Féminin,8,"sur le dos, avant-bras replié",,,3,,1,2,,,,,,
SITE-71d436399070bd73,Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",6027,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,12,Sur le dos,,,2,,1,2,,,,,,
SITE-4cb9e26a3ee1b9e2,Kolbsheim,Kurze Straenge (COS 2.2),40,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,9,sur le dos,espace vide (contenant rigide), , , ,, ,,,, ,1,3
