site_id,id_proto,commune,lieu_dit,type_site,type_site_canon,periode,sous_periode,datation_1_brut,datation_2_brut,longitude,latitude,x_l93,y_l93,statut_fouille,confiance,source,bibliographie,structures_resume,remarques,ea,oa
PROTO-ALS-756,756,Spechbach-le-Bas,Spechbacherweg,habitat,HABITAT,,,Bronze final,Bze D,7.224023,47.675452,1016803.801119783,6739038.301075856,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Lack 1988, p. 61-66",fosse à galets chauffés,-,,-
PROTO-ALS-757,757,Sigolsheim,-,mobilier,DEPOT,HALLSTATT,,Bronze final,Ha A1-A2,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-760,760,Wintzenheim,Sonnenbuckel,mobilier,DEPOT,HALLSTATT,,Bronze final,Ha A2,7.289888,48.073075,1019339.7692667523,6783420.839646802,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-765,765,Wittelsheim,Langenzug,funéraire,NECROPOLE,,,Bronze final,Bze D,7.240589,47.809209,1017247.3518962499,6753944.574042322,,MEDIUM,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,crémation,-,,-
PROTO-ALS-768,768,Ungersheim,Desserte routière du Bioscope et de l'Ecomusée,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Bze D-Ha A1,7.292693,47.86434,1020808.6937454201,6760271.816389632,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Lefranc 2008,-,-,,4938
PROTO-ALS-769,769,Ungersheim,Desserte routière du Bioscope et de l'Ecomusée,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2,7.292693,47.86434,1020808.6937454201,6760271.816389632,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Lefranc 2008,-,-,,4938
PROTO-ALS-775,775,Wettolsheim,"10 rue de la 5e Division Blindée, lotissement Le Clos Driesbach",habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2-B1,7.299919,48.05782,1020178.0097391515,6781768.727952881,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Latron 2011,fosse,-,,5652
PROTO-ALS-776,776,Neubois,Le Frankenbourg / Schlossberg,habitat,HABITAT,LA_TENE,,La Tène finale,,7.324984,48.295214,1020598.1891455736,6808213.90695536,fouille,LOW,BdD_Proto_Alsace_xlsx,Féliu 2020,nan,nan,,
PROTO-ALS-777,777,Zimmersheim,Knabenboden,habitat,HABITAT,LA_TENE,,La Tène finale,,7.387721,47.720462,1028791.0955065317,6744700.791149513,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,nan,nan,,
PROTO-ALS-778,778,Ungersheim,Thurwald,habitat,HABITAT,LA_TENE,,La Tène finale,,7.308399,47.876474,1021907.7703177114,6761681.986169304,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Zehner 1998,nan,nan,,
